001E	PR-FDG	T210
A227	PR-SJA	B737
A22A	PS-RIO	GA6C
A22B	PP-MNF	C208
A22C	PR-VPA	FA7X
A234	PS-KSA	E295
A236	PS-AVB	SIRA
A237	PS-TMZ	C680
A23A	PR-PVT	SR22
A241	PT-OLW	BE9L
A247	PS-IJC	C68A
A24C	PP-PMP	C525
A24F	PS-FGR	B429
A250	PS-STQ	PC12
A252	PT-OJM	PAY2
A255	PS-JDF	SR22
A262	PR-AFN	C208
A263	PS-BRM	M700
A266	PT-CTA	GL5T
A269	PP-NRS	E55P
A26C	PS-FCM	C525
A270	PR-OFK	EC75
A272	PS-SMA	M700
A274	PS-SFJ	COLT
A275	PS-SFL	COLT
A27F	PS-RET	DA62
A285	PT-WZZ	BE36
A288	PS-LHI	A20N
A28A	PS-BRB	PAY2
A28D	PS-KMG	BE20
A292	PS-RIR	PAY1
A29A	PS-HEV	PAY1
A29D	PS-DIS	P46T
A2A8	PR-SDN	E55P
A2A9	PS-TLG	B734
A2AF	PP-KMC	F2TH
A2B6	PS-ADJ	E295
A2B7	PS-ADH	E295
A2B8	PS-ADG	E295
A2B9	PS-ADI	E295
A2BA	PS-FFM	C25C
A2BF	PR-2TC	LJ45
A2C2	PS-AXE	C25C
A2C3	PS-EII	AS50
A2D0	PS-PGA	C25B
A2D2	PS-PHE	E50P
A2D3	PS-JJB	C25C
A2D4	PS-LBP	A21N
A2D5	PS-LBQ	A21N
A2DD	PS-CVR	P46T
A2E0	PS-NJS	BE20
A2E2	PS-KMH	E55P
A2E4	PS-MNC	C680
A2E6	PR-FIO	E55P
A2E7	PP-WNG	BE40
A2E9	PT-GAG	BE40
A2EE	PP-NKF	B429
A2F0	PS-RPC	C25B
A2F1	PS-VFA	E55P
A300	PS-AAL	E50P
A301	PS-GMG	C525
A302	PS-FBU	E55P
A304	PS-SGF	SR22
A306	PS-BCW	A109
A307	PR-CLL	S22T
A308	PS-FCS	M700
A30A	PS-LLJ	C680
A30C	PS-FLM	B429
A30E	PS-MB	C25B
A313	PS-CPR	E55P
A314	PP-BIH	C25B
A31D	PS-GAT	R66
A320	PS-HTM	C25M
A328	PS-TAC	BE9L
A32A	PS-BER	RV12
A32C	PR-DSM	C56X
A334	PS-GIO	B505
A33E	PS-SFS	B429
A340	PR-GRN	C680
A345	PS-MEV	E550
A34A	PS-CLC	E50P
A34B	PS-BCM	E55P
A34E	PS-FLP	BE40
A354	PS-KCI	C25M
A356	PS-GCE	GLF5
A35D	PS-VHM	SR22
A360	PS-IGR	C525
A366	PS-PCS	R66
A36D	PS-VLC	E55P
A370	PP-FRR	E50P
A375	PP-BYD	C680
A379	PS-LGU	BE40
A37A	PS-RNB	C525
A37B	PS-INH	C208
A37C	PS-RMO	E55P
A37D	PS-FIL	E55P
A37F	PR-WST	C55B
A381	PT-MBB	E121
A386	PS-LLU	C25M
A38F	PT-WFM	BE33
A390	PS-ADL	E295
A391	PS-ADN	E295
A392	PS-FGE	E295
A393	PS-ADK	E295
A394	PS-ADO	E295
A397	PS-BAL	SF50
A39B	PS-IVI	R66
A3A7	PS-CMM	TBM9
A3B0	PS-IDO	SF50
A3B1	PS-LRM	F2TH
A3B5	PS-DZB	MC01
A3C2	PS-LJA	G280
A3C6	PS-FJS	B350
A3CC	PP-BJQ	C25A
A3CD	PS-GKW	C25M
A3CF	PS-ASR	C25B
A3D0	PR-MRJ	H25B
A3D3	PS-HER	E55P
A3D7	PR-ANU	A339
A3D9	PS-JGD	C208
A3F0	PS-GFH	B38M
A3FE	PS-FAT	R66
A401	PS-EBD	E55P
A403	PR-AEV	EC45
A40C	PR-OVI	LJ75
A40F	PS-FHI	E55P
A418	PS-MGG	GA7C
A424	PP-COD	C55B
A425	PR-FFF	SR22
A426	PP-JCB	SR22
A429	PS-APN	C525
A42B	PS-CJI	C525
A42C	PS-MJV	PA46
A42E	PS-BMX	C680
A434	PS-SID	E50P
A436	PP-SKB	E55P
A437	PS-TPI	G150
A441	PS-BTS	DA62
A442	PS-MJE	G150
A446	PS-INJ	C25B
A470	PS-EGS	C25M
A486	PT-OGE	C208
A489	PS-GBZ	S22T
A48E	PS-ZET	QUAS
A49B	PS-IDB	E55P
A49E	FAB-2019	E120
A4A1	PS-ICF	C25M
A4A3	PT-OSI	BE9L
A4A4	PP-PAI	PC12
A4A7	PS-ZEM	R66
A4A9	PS-BFS	E55P
A4AC	PS-GRQ	B38M
A4B1	PP-PVI	E55P
A4B4	PS-GUP	PAY1
A4B8	PS-GLB	B429
A4B9	PS-MBG	B505
A4BE	PR-FJG	S22T
A4BF	PS-BXO	C510
A4C7	PS-GFI	B738
A4CA	PS-GCL	G150
A4CD	PS-IPY	B505
A4D1	PS-PCK	S22T
A4D6	PP-SHI	B407
A4D7	PS-GLN	BE9L
A4DC	PS-HHH	R66
A4DE	PS-ZAN	F2TH
A4E3	PT-OZS	E121
A4E8	PS-GOS	DA62
A4EA	PS-SLY	C208
A4ED	PR-TVN	C208
A4EE	PS-GUF	GLF4
A4F0	PS-CSJ	C25B
A4F3	PP-TRJ	F2TH
A4F4	PR-OSI	PAY1
A4FB	PS-BQF	C510
A4FE	PS-BDR	LJ45
A500	PP-AAW	DA62
A502	PS-JJJ	EC30
A504	PS-BQH	C510
A506	PR-LJO	C25M
A507	PS-HNG	C208
A509	PS-IHS	C208
A50A	PS-IVN	BE40
A50B	PR-ASU	C525
A50D	PS-LHM	A20N
A50E	PS-LHP	A20N
A510	PS-LQA	A21N
A511	PS-LQB	A21N
A512	PS-LQC	A21N
A513	PS-LQD	A21N
A514	PS-LQE	A21N
A515	PS-GEF	C25C
A516	PS-LHO	A20N
A51A	PR-RLG	RV10
A51B	PS-MPF	E50P
A523	PS-DRC	SR22
A526	PS-LBR	A21N
A527	PS-LBS	A21N
A52B	PS-RMT	M600
A52E	PP-FSH	P46T
A530	PS-PGM	GA6C
A537	PP-ABY	F900
A539	PS-RSP	BE40
A53C	PS-FAJ	G150
A53F	PS-RIK	C25B
A540	PR-MNE	E50P
A543	PP-LGF	E50P
A544	PR-SLB	C510
A549	PR-GKA	B738
A54B	PR-GKB	B738
A54D	PR-GKC	B738
A54E	PS-EAB	A320
A550	PR-GKE	B738
A553	PS-GBF	C25B
A558	PS-VPL	R66
A55F	PS-FPI	C208
A561	PS-YRD	C56X
A568	PS-BBA	B350
A56C	PR-PEN	PA46
A56F	PS-CRV	C25B
A577	PP-EXP	C208
A580	PP-VEB	SR22
A582	PS-NFA	E55P
A585	PS-SAW	E55P
A586	PS-VAA	P46T
A591	PR-THD	C510
A598	PS-ADP	E295
A59C	PS-TDV	E50P
A59F	PP-MFP	PA46
A5A4	PU-FCF	C680
A5A5	PS-PIL	PC24
A5A6	PR-IGA	BE9L
A5AB	PS-SYS	P46T
A5B1	PS-MGD	AS50
A5B3	PS-TJS	P46T
A5B4	PS-BRK	BE40
A5B6	PS-RDO	BE20
A5B9	PS-ZES	P46T
A5BE	PS-IOB	SR22
A5BF	PS-MTO	HDJT
A5C0	PS-INM	C208
A5C1	PS-RZK	GLF5
A5C5	PS-MOV	TBM9
A5C6	PP-CTL	B505
A5C9	PP-CRO	PC24
A5D1	PR-DZZ	E55P
A5D4	PS-FTS	E50P
A5D5	PS-FCA	E55P
A5D7	PT-YHN	B06
A5D8	PS-PCL	S22T
A5DB	PS-HIP	C25C
A5DC	PR-GJP	PA34
A5E9	PS-ABK	C208
A5EB	PP-AVJ	P28R
A5EE	PS-MYM	E55P
A5F0	PS-MKM	P46T
A5F5	PS-PBI	BE20
A5FA	FAB2018	E120
A602	PS-BPC	B734
A603	PS-BBJ	E545
A604	PR-BBM	E550
A609	PS-RHT	C25B
A612	PS-RMX	C56X
A616	PS-KRM	C208
A617	PR-TDX	BE20
A61A	PS-GEP	BE20
A61D	PS-PCM	P46T
A622	PT-LVS	BE36
A62B	PS-CNS	CL35
A62D	PU-LRV	C25M
A62F	PP-JRF	B505
A631	PR-NSF	B505
A638	PS-RLP	C525
A63F	PS-EDS	SR22
A640	PS-CAO	F2TH
A64E	PS-FMX	LJ45
A652	PS-LHQ	A20N
A656	PR-MDX	C510
A657	PS-GAN	B429
A65C	PS-JUP	PC12
A667	PS-WOL	SR22
A669	PS-NYC	F2TH
A66A	PS-GBK	C510
A66D	PS-SRV	E550
A66E	PS-KIM	DA40
A671	PS-JSS	PC12
A678	PS-TSE	SR22
A67C	PS-VDT	PC12
A67E	PP-SBS	BE20
A684	PS-WOW	SR22
A685	PS-UCA	B505
A687	PR-CRX	LJ75
A68E	PP-WMO	C550
A690	PS-BGB	C510
A693	PS-EFF	C25M
A696	PS-CIR	S22T
A69D	PS-APR	P46T
A6A4	PR-MIB	C525
A6AD	PS-MDK	BE4W
A6AE	PS-GGV	GLF5
A6AF	PS-DZA	MC01
A6B5	PS-FJR	E55P
A6BE	PP-FTX	LJ75
A6C8	PS-ACT	B505
A6C9	PS-OMI	G150
A6CB	PS-GFM	PC12
A6CE	PS-MTX	C208
A6D6	PS-HBF	M700
A6D9	PS-TRZ	E55P
A6E3	PP-BTC	DA62
A6EB	PS-TIT	SR22
A6F8	PS-VLO	B505
A6FB	PS-GLC	LJ70
A706	PS-DGE	C25B
A717	PS-SCU	B505
A720	PP-JVL	ASTR
A722	PS-KAS	C510
A723	PS-HLN	P46T
A724	PR-ESI	FA7X
A739	PR-GCK	E550
A73A	PS-FMB	C525
A73B	PP-MHR	B350
A73C	PP	GA6C
A73D	PS-BEC	C25M
A747	PS-LDL	BE20
A748	PR-IBI	SR22
A75F	PS-AHN	C510
A763	PS-BVV	SR22
A778	PR-TUP	DA40
A78D	PS-PMJ	DA62
A78F	PS-EAG	P46T	A
A792	PS-BBR	SR22
A7A2	PS-DEA	C25M
A7A9	PS-SDA	C25M
A7AE	PR-AHC	A332
A7B3	PS-JFM	C680
A7B9	PS-ISY	B505
A7BF	PS-EAG	P46T	A
A7C2	PS-PSA	BE20
A7C6	PU-CIT	B505
A7CD	PU-SAY	BE58
A7CE	PS-ZOO	SR22
A7D1	PU-CPM	C525
A7D8	PS-JGF	P46T
A7DA	PU-CGL	C510
A7EB	PR-RLP	SR22
A7FB	PS-RZR	M700
A80F	PS-IVA	B505
A81B	PS-ZBZ	S22T
A81D	PS-NAD	PC12
A81E	PS-KET	A119
A846	PU-VJF	C208
A849	PP-AJO	SR22
A853	PS-DVA	TBM9
A859	PR-VGL	DA40
A85D	PS-JSM	C208
A861	PS-DML	B505
A866	PS-GGH	C550
A87E	PR-ETZ	E295
A893	PT-MDV	PC12
A8A4	PS-IVZ	B505
A8AA	PS-CTQ	C208
A8B4	PU-PRU	B505
